"","Mean 0.5","Mean 1"
"3-players",2.875,6.9375
"4-players",2.25,4.7890625
"5-players",2.015625,4.203125
"6-players",1.859375,3.3828125
"7-players",1.703125,3.08984375
"8-players",1.625,3.0703125
"9-players",1.5859375,2.89453125
"10-players",1.60546875,2.69921875
"11-players",1.56640625,2.73828125
"12-players",1.546875,2.54296875
"13-players",1.546875,2.4453125
"14-players",1.5078125,2.4453125
"15-players",1.46875,2.40625
"16-players",1.4296875,2.328125
"17-players",1.46875,2.328125
"18-players",1.4296875,2.25
"19-players",1.46875,2.26953125
"20-players",1.44921875,2.25
"21-players",1.46875,2.25
"22-players",1.390625,2.09375
